task	model	cond	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	evalAt1	n_valid	p_valid	avg_p_TP	sd_p_TP	avg_p_TN	sd_p_TN	avg_p_FP	sd_p_FP	avg_p_FN	sd_p_FN	avg_p_Error	sd_p_Error	avg_p_Pass	sd_p_Pass	avg_p_Fail	sd_p_Fail	n_valid_manual	p_valid_manual	avg_p_Pass_manual	n_valid_auto	p_valid_auto	avg_p_Pass_auto	n_at_least_one_error	n_all_error
HE99	codegemma-7b-it	post	7	3	S	CodeGemma	62	8.54	32	open	19	0	0	0	0.310526315789474	0.394210174969979	0.0473684210526316	0.0762704039273128	0.0473684210526316	0.0762704039273128	0.194736842105263	0.334761483516868	0.4	0.516397779494322	0.357894736842105	0.390562725876333	0.642105263157895	0.390562725876333	0	0	0.369230769230769	2	0.2	0.35	4	4
HE0	CodeQwen1.5-7B-Chat	post	5	4	QQ	CodeQwen1.5	15	7.25	28	open	33	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE1	CodeQwen1.5-7B-Chat	pre	5	9	NQ	CodeQwen1.5	15	7.25	28	open	222	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE1	CodeQwen1.5-7B-Chat	post	5	6	NQ	CodeQwen1.5	15	7.25	28	open	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE101	CodeQwen1.5-7B-Chat	pre	9	7	NQ	CodeQwen1.5	15	7.25	28	open	519	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE101	CodeQwen1.5-7B-Chat	post	9	6	QQ	CodeQwen1.5	15	7.25	28	open	463	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE104	CodeQwen1.5-7B-Chat	pre	6	2	S	CodeQwen1.5	15	7.25	28	open	25	0	0	0	0.008	0.025298221281347	0.016	0.0505964425626941	0.032	0.101192885125388	0.004	0.0126491106406735	0.94	0.189736659610103	0.024	0.0758946638440411	0.976	0.0758946638440411	0	0	0.0222222222222222	0	0	0.025	10	9
HE104	CodeQwen1.5-7B-Chat	post	6	5	QQ	CodeQwen1.5	15	7.25	28	open	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE108	CodeQwen1.5-7B-Chat	post	2	3	NQ	CodeQwen1.5	15	7.25	28	open	12	0	0	0	0.0166666666666667	0.052704627669473	0	0	0.00833333333333333	0.0263523138347365	0.00833333333333333	0.0263523138347365	0.966666666666667	0.105409255338946	0.0166666666666667	0.052704627669473	0.983333333333333	0.052704627669473	0	0	0.02	10	1		10	9
HE111	CodeQwen1.5-7B-Chat	pre	8	3	Q	CodeQwen1.5	15	7.25	28	open	85	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE111	CodeQwen1.5-7B-Chat	post	8	10	QQ	CodeQwen1.5	15	7.25	28	open	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE114	CodeQwen1.5-7B-Chat	post	5	6	QQ	CodeQwen1.5	15	7.25	28	open	28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE120	CodeQwen1.5-7B-Chat	pre	7	2	S	CodeQwen1.5	15	7.25	28	open	56	0	0	0	0	0	0.0196428571428571	0.062116168324736	0	0	0.0517857142857143	0.163760807401577	0.928571428571429	0.225876975726313	0.0196428571428571	0.062116168324736	0.980357142857143	0.062116168324736	0	0	0.0166666666666667	0	0	0.02	10	9
HE120	CodeQwen1.5-7B-Chat	post	7	8	NQ	CodeQwen1.5	15	7.25	28	open	48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE127	CodeQwen1.5-7B-Chat	pre	4	2	Q	CodeQwen1.5	15	7.25	28	open	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE127	CodeQwen1.5-7B-Chat	post	4	5	Q	CodeQwen1.5	15	7.25	28	open	24	0	0	0	0.00416666666666667	0.0131761569173682	0	0	0	0	0	0	0.995833333333333	0.0131761569173682	0.00416666666666667	0.0131761569173682	0.995833333333333	0.0131761569173682	0	0	0.01	0	0	0	10	9
HE13	CodeQwen1.5-7B-Chat	pre	5	3	Q	CodeQwen1.5	15	7.25	28	open	47	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE13	CodeQwen1.5-7B-Chat	post	5	4	QQ	CodeQwen1.5	15	7.25	28	open	42	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE132	CodeQwen1.5-7B-Chat	pre	7	3	Q	CodeQwen1.5	15	7.25	28	open	363	0	0	0	0.000550964187327824	0.0017423017411396	0.0983471074380165	0.311000860793419	0	0	0.00110192837465565	0.00348460348227921	0.9	0.316227766016838	0.0988980716253443	0.312743162534559	0.901101928374656	0.312743162534559	0	0	0.06	1	0.1	0.1	9	9
HE132	CodeQwen1.5-7B-Chat	post	7	7	NQ	CodeQwen1.5	15	7.25	28	open	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE136	CodeQwen1.5-7B-Chat	post	11	13	NQ	CodeQwen1.5	15	7.25	28	open	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE138	CodeQwen1.5-7B-Chat	post	13	14	NQ	CodeQwen1.5	15	7.25	28	open	49	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE140	CodeQwen1.5-7B-Chat	post	6	13	NQ	CodeQwen1.5	15	7.25	28	open	106	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE141	CodeQwen1.5-7B-Chat	post	4	5	NQ	CodeQwen1.5	15	7.25	28	open	609	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE151	CodeQwen1.5-7B-Chat	post	4	5	QQ	CodeQwen1.5	15	7.25	28	open	70	0.1	1	0.1	0.09	0.284604989415154	0.01	0.0316227766016838	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9
HE158	CodeQwen1.5-7B-Chat	post	5	7	NQ	CodeQwen1.5	15	7.25	28	open	43	0	0	0	0.0720930232558139	0.22797815689586	0.0116279069767442	0.0367706704670742	0.00930232558139535	0.0294165363736593	0.00697674418604651	0.0220624022802445	0.9	0.316227766016838	0.0837209302325581	0.264748827362934	0.916279069767442	0.264748827362934	0	0	0.0642857142857143	1	0.1	0.1	9	9
HE16	CodeQwen1.5-7B-Chat	post	6	5	Q	CodeQwen1.5	15	7.25	28	open	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE160	CodeQwen1.5-7B-Chat	pre	8	4	Q	CodeQwen1.5	15	7.25	28	open	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE160	CodeQwen1.5-7B-Chat	post	8	8	NQ	CodeQwen1.5	15	7.25	28	open	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE161	CodeQwen1.5-7B-Chat	post	5	6	QQ	CodeQwen1.5	15	7.25	28	open	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE20	CodeQwen1.5-7B-Chat	pre	5	2	S	CodeQwen1.5	15	7.25	28	open	29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE20	CodeQwen1.5-7B-Chat	post	5	3	QQ	CodeQwen1.5	15	7.25	28	open	28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE21	CodeQwen1.5-7B-Chat	post	6	6	NQ	CodeQwen1.5	15	7.25	28	open	59	0	0	0	0	0	0.0101694915254237	0.0321587558661191	0	0	0.0898305084745763	0.284069010150719	0.9	0.316227766016838	0.0101694915254237	0.0321587558661191	0.989830508474576	0.0321587558661191	0	0	0.0117647058823529	0	0	0	9	9
HE24	CodeQwen1.5-7B-Chat	pre	3	1	S	CodeQwen1.5	15	7.25	28	open	31	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE24	CodeQwen1.5-7B-Chat	post	3	2	Q	CodeQwen1.5	15	7.25	28	open	35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE30	CodeQwen1.5-7B-Chat	post	6	5	Q	CodeQwen1.5	15	7.25	28	open	14	0	0	0	0.00714285714285714	0.0225876975726313	0.0214285714285714	0.0677630927178938	0.00714285714285714	0.0225876975726313	0.0714285714285714	0.202030508910442	0.892857142857143	0.314520114610069	0.0285714285714286	0.0903507902905251	0.971428571428571	0.0903507902905251	0	0	0.0181818181818182	10	1		9	8
HE37	CodeQwen1.5-7B-Chat	post	3	2	S	CodeQwen1.5	15	7.25	28	open	43	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE42	CodeQwen1.5-7B-Chat	post	8	10	NQ	CodeQwen1.5	15	7.25	28	open	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE43	CodeQwen1.5-7B-Chat	post	8	8	QQ	CodeQwen1.5	15	7.25	28	open	28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE45	CodeQwen1.5-7B-Chat	pre	1	2	S	CodeQwen1.5	15	7.25	28	open	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE45	CodeQwen1.5-7B-Chat	post	1	1	S	CodeQwen1.5	15	7.25	28	open	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE50	CodeQwen1.5-7B-Chat	post	2	3	NQ	CodeQwen1.5	15	7.25	28	open	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE57	CodeQwen1.5-7B-Chat	post	3	3	S	CodeQwen1.5	15	7.25	28	open	17	0	0	0	0.0117647058823529	0.0372032665902162	0	0	0	0	0.00588235294117647	0.0186016332951081	0.982352941176471	0.0558048998853244	0.0117647058823529	0.0372032665902162	0.988235294117647	0.0372032665902162	0	0	0	0	0	0.0666666666666667	10	9
HE60	CodeQwen1.5-7B-Chat	pre	2	1	S	CodeQwen1.5	15	7.25	28	open	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE60	CodeQwen1.5-7B-Chat	post	2	1	Q	CodeQwen1.5	15	7.25	28	open	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE65	CodeQwen1.5-7B-Chat	pre	3	2	S	CodeQwen1.5	15	7.25	28	open	13	0	0	0	0.0384615384615385	0.12162606385263	0	0	0	0	0	0	0.961538461538462	0.12162606385263	0.0384615384615385	0.12162606385263	0.961538461538462	0.12162606385263	0	0	0	1	0.1	0.1	10	9
HE65	CodeQwen1.5-7B-Chat	post	3	2	NQ	CodeQwen1.5	15	7.25	28	open	24	0	0	0	0.0541666666666667	0.117932942863077	0.0541666666666667	0.11461489464321	0.0125	0.028122856571273	0.0791666666666667	0.169478594008684	0.8	0.421637021355784	0.108333333333333	0.231740595717936	0.891666666666667	0.231740595717936	0	0	0.1	0	0	0.0666666666666667	8	8
HE71	CodeQwen1.5-7B-Chat	post	5	5	QQ	CodeQwen1.5	15	7.25	28	open	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE73	CodeQwen1.5-7B-Chat	post	5	4	NQ	CodeQwen1.5	15	7.25	28	open	78	0	0	0	0.0948717948717949	0.291113168809948	0.00128205128205128	0.004054202128421	0.00769230769230769	0.024325212770526	0	0	0.896153846153846	0.315108280023521	0.0961538461538462	0.29080246723625	0.903846153846154	0.29080246723625	0	0	0.1	1	0.1	0.1	9	8
HE74	CodeQwen1.5-7B-Chat	pre	5	4	Q	CodeQwen1.5	15	7.25	28	open	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE74	CodeQwen1.5-7B-Chat	post	5	4	Q	CodeQwen1.5	15	7.25	28	open	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE80	CodeQwen1.5-7B-Chat	pre	6	2	Q	CodeQwen1.5	15	7.25	28	open	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE80	CodeQwen1.5-7B-Chat	post	6	5	Q	CodeQwen1.5	15	7.25	28	open	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE84	CodeQwen1.5-7B-Chat	pre	2	1	S	CodeQwen1.5	15	7.25	28	open	8	0	0	0	0.0125	0.0395284707521047	0	0	0	0	0	0	0.9875	0.0395284707521047	0.0125	0.0395284707521047	0.9875	0.0395284707521047	0	0	0	1	0.1	0.1	10	9
HE84	CodeQwen1.5-7B-Chat	post	2	5	NQ	CodeQwen1.5	15	7.25	28	open	13	0.1	1	0.1	0.0692307692307692	0.218926914934734	0.0307692307692308	0.097300851082104	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9
HE86	CodeQwen1.5-7B-Chat	post	4	2	NQ	CodeQwen1.5	15	7.25	28	open	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	10	1		10	10
HE90	CodeQwen1.5-7B-Chat	pre	3	1	S	CodeQwen1.5	15	7.25	28	open	50	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE90	CodeQwen1.5-7B-Chat	post	3	1	S	CodeQwen1.5	15	7.25	28	open	42	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE99	CodeQwen1.5-7B-Chat	pre	7	2	S	CodeQwen1.5	15	7.25	28	open	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE99	CodeQwen1.5-7B-Chat	post	7	3	S	CodeQwen1.5	15	7.25	28	open	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
HE0	Codestral-22B-v0.1	post	5	4	QQ	Codestral	20	22.2	83	open	33	0.8	8	0.8	0.703030303030303	0.370529503615689	0.096969696969697	0.051107517740095	0	0	0	0	0.2	0.421637021355784	0.8	0.421637021355784	0.2	0.421637021355784	8	0.8	0.8	8	0.8	0.8	2	2
HE1	Codestral-22B-v0.1	pre	5	9	NQ	Codestral	20	22.2	83	open	222	0	0	0	0.00540540540540541	0.00870352957729095	0.143243243243243	0.158531825028144	0.193243243243243	0.311151182388152	0.000900900900900901	0.00284889879294449	0.657207207207207	0.461664466930228	0.148648648648649	0.165968562027872	0.851351351351351	0.165968562027872	0	0	0.272727272727273	0	0	0.14218009478673	7	5
HE1	Codestral-22B-v0.1	post	5	6	NQ	Codestral	20	22.2	83	open	11	0	0	0	0	0	0.0181818181818182	0.0574959574576069	0	0	0	0	0.981818181818182	0.0574959574576069	0.0181818181818182	0.0574959574576069	0.981818181818182	0.0574959574576069	0	0	0.0222222222222222	10	1		10	9
HE101	Codestral-22B-v0.1	pre	9	7	NQ	Codestral	20	22.2	83	open	519	0	0	0	0	0	0.000385356454720617	0.000812402738643129	0	0	0	0	0.999614643545279	0.000812402738643136	0.000385356454720617	0.000812402738643129	0.999614643545279	0.000812402738643136	0	0	0.0166666666666667	0	0	0	10	8
HE101	Codestral-22B-v0.1	post	9	6	QQ	Codestral	20	22.2	83	open	463	0	0	0	0.0859611231101512	0.271832939254215	0.00151187904967603	0.0047809813436671	0	0	0.0913606911447084	0.248036719644433	0.821166306695464	0.380301082680837	0.0874730021598272	0.276613920597882	0.912526997840173	0.276613920597882	1	0.1	0.1	0	0	0.0870246085011186	9	8
HE104	Codestral-22B-v0.1	pre	6	2	S	Codestral	20	22.2	83	open	25	0.4	4	0.4	0.096	0.123935467078637	0.304	0.392462312415685	0	0	0	0	0.6	0.516397779494322	0.4	0.516397779494322	0.6	0.516397779494322	4	0.4	0.4	4	0.4	0.4	6	6
HE104	Codestral-22B-v0.1	post	6	5	QQ	Codestral	20	22.2	83	open	15	0	0	0	0.166666666666667	0.270801280154532	0.0933333333333333	0.126491106406735	0.04	0.0644061188719531	0	0	0.7	0.455691036764664	0.26	0.391830147126955	0.74	0.391830147126955	0	0	0.26	3	0.3	0.3	8	6
HE108	Codestral-22B-v0.1	post	2	3	NQ	Codestral	20	22.2	83	open	12	0	0	0	0.0416666666666667	0.131761569173682	0.025	0.0790569415042095	0.0166666666666667	0.052704627669473	0.0166666666666667	0.052704627669473	0.9	0.316227766016838	0.0666666666666667	0.210818510677892	0.933333333333333	0.210818510677892	0	0	0.07	10	1		9	9
HE111	Codestral-22B-v0.1	pre	8	3	Q	Codestral	20	22.2	83	open	85	0.7	7	0.7	0.0905882352941176	0.0489960727816015	0.696470588235294	0.368243437860208	0	0	0	0	0.212941176470588	0.416774380540933	0.787058823529412	0.416774380540933	0.212941176470588	0.416774380540933	7	0.7	0.7	8	0.8	0.8	3	2
HE111	Codestral-22B-v0.1	post	8	10	QQ	Codestral	20	22.2	83	open	17	0	0	0	0.0705882352941176	0.223219599541297	0.0411764705882353	0.0879078892998427	0.0117647058823529	0.0372032665902162	0	0	0.876470588235294	0.316713709854809	0.111764705882353	0.280673107565127	0.888235294117647	0.280673107565127	0	0	0.1125	1	0.1	0.1	9	8
HE114	Codestral-22B-v0.1	post	5	6	QQ	Codestral	20	22.2	83	open	28	0.1	1	0.1	0.0892857142857143	0.247005880014838	0.0285714285714286	0.0690065559342354	0	0	0	0	0.882142857142857	0.314992891256216	0.117857142857143	0.314992891256216	0.882142857142857	0.314992891256216	1	0.1	0.136363636363636	1	0.1	0.1	9	8
HE120	Codestral-22B-v0.1	pre	7	2	S	Codestral	20	22.2	83	open	56	0.6	6	0.6	0.4375	0.30190368221228	0.251785714285714	0.176866864491634	0.0107142857142857	0.0338815463589469	0	0	0.3	0.483045891539648	0.689285714285714	0.476800204880566	0.310714285714286	0.476800204880566	6	0.6	0.683333333333333	6	0.6	0.69	3	3
HE120	Codestral-22B-v0.1	post	7	8	NQ	Codestral	20	22.2	83	open	48	0	0	0	0.154166666666667	0.327377344857469	0.0104166666666667	0.0329403922934206	0.00416666666666667	0.0131761569173682	0	0	0.83125	0.363301317396761	0.164583333333333	0.352795548546285	0.835416666666667	0.352795548546285	0	0	0.0846153846153846	2	0.2	0.2	9	8
HE127	Codestral-22B-v0.1	pre	4	2	Q	Codestral	20	22.2	83	open	21	0	0	0	0.271428571428571	0.35068230654103	0.114285714285714	0.147542222712663	0.0285714285714286	0.0903507902905251	0.019047619047619	0.0245903704521106	0.566666666666667	0.498144706032442	0.385714285714286	0.450329517381712	0.614285714285714	0.450329517381712	0	0	0.34	3	0.3	0.4	6	5
HE127	Codestral-22B-v0.1	post	4	5	Q	Codestral	20	22.2	83	open	24	0	0	0	0.125	0.25	0.0458333333333333	0.0796646133316666	0.00833333333333333	0.0175682092231577	0.05	0.105409255338946	0.770833333333333	0.416319299647829	0.170833333333333	0.324209627734972	0.829166666666667	0.324209627734972	0	0	0.14	1	0.1	0.181818181818182	8	7
HE13	Codestral-22B-v0.1	pre	5	3	Q	Codestral	20	22.2	83	open	47	0.8	8	0.8	0.561702127659575	0.296043014994487	0.238297872340426	0.125594006361297	0	0	0	0	0.2	0.421637021355784	0.8	0.421637021355784	0.2	0.421637021355784	8	0.8	0.8	8	0.8	0.8	2	2
HE13	Codestral-22B-v0.1	post	5	4	QQ	Codestral	20	22.2	83	open	42	0	0	0	0.121428571428571	0.256546928515257	0.0285714285714286	0.0602338601936834	0	0	0.0214285714285714	0.0677630927178938	0.828571428571429	0.367623982202263	0.15	0.316675617488966	0.85	0.316675617488966	0	0	0.144444444444444	0	0	0.148387096774194	9	8
HE132	Codestral-22B-v0.1	pre	7	3	Q	Codestral	20	22.2	83	open	363	0.3	3	0.3	0.00523415977961432	0.00784035783512821	0.393388429752066	0.507862279006813	0	0	0.00137741046831956	0.00435575435284901	0.6	0.516397779494322	0.39862258953168	0.51463491134158	0.60137741046832	0.51463491134158	3	0.3	0.35	4	0.4	0.4	6	6
HE132	Codestral-22B-v0.1	post	7	7	NQ	Codestral	20	22.2	83	open	15	0	0	0	0.0266666666666667	0.0843274042711568	0.02	0.0632455532033676	0.02	0.0632455532033676	0.0333333333333333	0.105409255338946	0.9	0.316227766016838	0.0466666666666667	0.147572957474524	0.953333333333333	0.147572957474524	0	0	0.05	1	0.1	0.1	9	9
HE136	Codestral-22B-v0.1	post	11	13	NQ	Codestral	20	22.2	83	open	18	0	0	0	0.188888888888889	0.209840229247634	0.105555555555556	0.144515651963901	0	0	0.00555555555555555	0.0175682092231577	0.7	0.355439795970669	0.294444444444444	0.343517270637646	0.705555555555556	0.343517270637646	0	0	0.307142857142857	10	1		9	5
HE138	Codestral-22B-v0.1	post	13	14	NQ	Codestral	20	22.2	83	open	49	0	0	0	0.242857142857143	0.391076596401341	0.0306122448979592	0.0554745116676874	0.0244897959183673	0.0469338457432934	0.00204081632653061	0.00645362787789465	0.7	0.483045891539648	0.273469387755102	0.440782731566075	0.726530612244898	0.440782731566075	0	0	0.261111111111111	3	0.3	0.3	7	7
HE140	Codestral-22B-v0.1	post	6	13	NQ	Codestral	20	22.2	83	open	106	0	0	0	0.00754716981132075	0.0238662464918368	0	0	0	0	0	0	0.992452830188679	0.0238662464918368	0.00754716981132075	0.0238662464918368	0.992452830188679	0.0238662464918368	0	0	0.0166666666666667	0	0	0.00652173913043478	10	9
HE141	Codestral-22B-v0.1	post	4	5	NQ	Codestral	20	22.2	83	open	609	0	0	0	0	0	0.00114942528735632	0.00363480190823952	0	0	0.000328407224958949	0.00103851483092558	0.998522167487685	0.00467331673916509	0.00114942528735632	0.00363480190823952	0.998850574712644	0.00363480190823951	0	0	0.0416666666666667	0	0	0	10	9
HE151	Codestral-22B-v0.1	post	4	5	QQ	Codestral	20	22.2	83	open	70	0.2	2	0.2	0.18	0.379473319220206	0.02	0.0421637021355784	0	0	0	0	0.8	0.421637021355784	0.2	0.421637021355784	0.8	0.421637021355784	2	0.2	0.2	2	0.2	0.2	8	8
HE158	Codestral-22B-v0.1	post	5	7	NQ	Codestral	20	22.2	83	open	43	0	0	0	0.151162790697674	0.287606301691305	0.0627906976744186	0.0842432743373467	0.0116279069767442	0.0251191499938289	0.144186046511628	0.303970875861147	0.630232558139535	0.46954608850998	0.213953488372093	0.320521778798967	0.786046511627907	0.320521778798967	0	0	0.214285714285714	2	0.2	0.2	7	5
HE16	Codestral-22B-v0.1	post	6	5	Q	Codestral	20	22.2	83	open	16	0.1	1	0.1	0.13125	0.260957771168696	0.1	0.161911326897712	0.00625	0.0197642353760524	0.05625	0.177878118384471	0.70625	0.473288216746531	0.23125	0.406169863891123	0.76875	0.406169863891123	2	0.2	0.2375	2	0.2	0.2	8	7
HE160	Codestral-22B-v0.1	pre	8	4	Q	Codestral	20	22.2	83	open	16	0	0	0	0.0625	0.131761569173682	0.13125	0.247294387095399	0.01875	0.0421842848569096	0	0	0.7875	0.416874947942692	0.19375	0.377825007260122	0.80625	0.377825007260122	0	0	0.192857142857143	2	0.2	0.2	8	7
HE160	Codestral-22B-v0.1	post	8	8	NQ	Codestral	20	22.2	83	open	17	0	0	0	0.0235294117647059	0.0744065331804325	0.00588235294117647	0.0186016332951081	0.0176470588235294	0.0558048998853243	0.0529411764705882	0.167414699655973	0.9	0.316227766016838	0.0294117647058824	0.0930081664755406	0.970588235294118	0.0930081664755406	0	0	0.0333333333333333	10	1		9	9
HE161	Codestral-22B-v0.1	post	5	6	QQ	Codestral	20	22.2	83	open	13	0	0	0	0.0615384615384615	0.13470692858014	0.0692307692307692	0.111472128816842	0.0153846153846154	0.048650425541052	0	0	0.853846153846154	0.267577340475786	0.130769230769231	0.229483598310405	0.869230769230769	0.229483598310405	0	0	0.11	10	1		10	7
HE20	Codestral-22B-v0.1	pre	5	2	S	Codestral	20	22.2	83	open	29	0.6	6	0.6	0.351724137931034	0.302715939703568	0.248275862068966	0.213681839790754	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4
HE20	Codestral-22B-v0.1	post	5	3	QQ	Codestral	20	22.2	83	open	28	0.4	4	0.4	0.328571428571429	0.424183890298908	0.0714285714285714	0.0922138891954147	0	0	0	0	0.6	0.516397779494322	0.4	0.516397779494322	0.6	0.516397779494322	4	0.4	0.4	4	0.4	0.4	6	6
HE21	Codestral-22B-v0.1	post	6	6	NQ	Codestral	20	22.2	83	open	59	0	0	0	0.00847457627118644	0.0267989632217659	0.00169491525423729	0.00535979264435318	0	0	0	0	0.989830508474576	0.0321587558661191	0.0101694915254237	0.0321587558661191	0.989830508474576	0.0321587558661191	0	0	0.0294117647058824	0	0	0	10	9
HE24	Codestral-22B-v0.1	pre	3	1	S	Codestral	20	22.2	83	open	31	0.2	2	0.2	0.590322580645161	0.344774177451548	0.135483870967742	0.077239935466959	0.0193548387096774	0.0311642510670741	0.0548387096774194	0.15134193737851	0.2	0.421637021355784	0.725806451612903	0.407823253086298	0.274193548387097	0.407823253086299	2	0.2	0.7	4	0.4	0.734782608695652	2	2
HE24	Codestral-22B-v0.1	post	3	2	Q	Codestral	20	22.2	83	open	35	0.5	5	0.5	0.497142857142857	0.427872445866724	0.1	0.0865042958313569	0.00285714285714286	0.00903507902905251	0	0	0.4	0.516397779494322	0.597142857142857	0.514012272985816	0.402857142857143	0.514012272985816	6	0.6	0.6	6	0.6	0.6	4	4
HE30	Codestral-22B-v0.1	post	6	5	Q	Codestral	20	22.2	83	open	14	0.4	4	0.4	0.35	0.369546513784585	0.157142857142857	0.142061275144536	0.0142857142857143	0.0451753951452626	0.00714285714285714	0.0225876975726313	0.471428571428571	0.504177559335864	0.507142857142857	0.486145933317071	0.492857142857143	0.486145933317071	4	0.4	0.490909090909091	10	1		5	4
HE37	Codestral-22B-v0.1	post	3	2	S	Codestral	20	22.2	83	open	43	0	0	0	0.132558139534884	0.294583843152668	0.0255813953488372	0.0444639702316279	0.00232558139534884	0.00735413409341484	0.0209302325581395	0.0661872068407335	0.818604651162791	0.355373729122623	0.158139534883721	0.32164471267944	0.841860465116279	0.32164471267944	0	0	0.116666666666667	1	0.1	0.168965517241379	9	6
HE42	Codestral-22B-v0.1	post	8	10	NQ	Codestral	20	22.2	83	open	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	10
