task	model	cond	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	evalAt1	n_valid	p_valid	avg_p_TP	sd_p_TP	avg_p_TN	sd_p_TN	avg_p_FP	sd_p_FP	avg_p_FN	sd_p_FN	avg_p_Error	sd_p_Error	avg_p_Pass	sd_p_Pass	avg_p_Fail	sd_p_Fail	n_valid_manual	p_valid_manual	avg_p_Pass_manual	n_valid_auto	p_valid_auto	avg_p_Pass_auto	n_at_least_one_error	n_all_error	Cond	Model	Open model	Difficulty	CC_prog	CC_sol
HEx127	claude-3-7-sonnet	post	4	5	Q	Claude3.7				proprietary	24	1	10	1	0.791666666666667	0	0.208333333333333	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	Q	Low	Low
HEx13	claude-3-7-sonnet	pre	5	3	Q	Claude3.7				proprietary	47	1	10	1	0.702127659574468	0	0.297872340425532	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	Q	Low	Low
HEx13	claude-3-7-sonnet	post	5	4	QQ	Claude3.7				proprietary	42	0.8	8	0.8	0.857142857142857	0	0.138095238095238	0.0100389766989472	0	0	0	0	0.00476190476190476	0.0100389766989472	0.995238095238095	0.0100389766989472	0.00476190476190476	0.0100389766989472	8	0.8	0.977777777777778	10	1	1	2	0	Post	Claude3.7	No	QQ	Low	Low
HEx132	claude-3-7-sonnet	pre	7	3	Q	Claude3.7				proprietary	363	1	10	1	0.0165289256198347	0	0.983471074380165	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	Q	High	Low
HEx132	claude-3-7-sonnet	post	7	7	NQ	Claude3.7				proprietary	15	1	10	1	0.6	0	0.4	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	NQ	High	High
HEx136	claude-3-7-sonnet	post	11	13	NQ	Claude3.7				proprietary	18	0.8	8	0.8	0.6	0.0234242789642102	0.388888888888889	0	0	0	0.0111111111111111	0.0234242789642102	0	0	0.988888888888889	0.0234242789642102	0.0111111111111111	0.0234242789642102	8	0.8	0.985714285714286	10	1		0	0	Post	Claude3.7	No	NQ	High	High
HEx138	claude-3-7-sonnet	post	13	14	NQ	Claude3.7				proprietary	49	1	10	1	0.816326530612245	0	0.183673469387755	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	NQ	High	High
HEx140	claude-3-7-sonnet	post	6	13	NQ	Claude3.7				proprietary	106	0.8	8	0.8	0.828301886792453	0.242640172667008	0.0547169811320755	0.00397770774863947	0.00188679245283019	0.00397770774863947	0.115094339622642	0.242640172667008	0	0	0.883018867924528	0.246617880415647	0.116981132075472	0.246617880415647	8	0.8	0.933333333333333	8	0.8	0.873913043478261	0	0	Post	Claude3.7	No	NQ	High	High
HEx141	claude-3-7-sonnet	post	4	5	NQ	Claude3.7				proprietary	609	0.8	8	0.8	0.986535303776683	0.00069234322061705	0.013136288998358	0	0	0	0.000328407224958949	0.000692343220617051	0	0	0.999671592775041	0.00069234322061705	0.000328407224958949	0.000692343220617051	8	0.8	0.983333333333333	10	1	1	0	0	Post	Claude3.7	No	NQ	Low	Low
HEx151	claude-3-7-sonnet	post	4	5	QQ	Claude3.7				proprietary	70	1	10	1	0.9	0	0.1	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	QQ	Low	Low
HEx16	claude-3-7-sonnet	post	6	5	Q	Claude3.7				proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	Q	High	Low
HEx160	claude-3-7-sonnet	pre	8	4	Q	Claude3.7				proprietary	16	1	10	1	0.3125	0	0.6875	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	Q	High	Low
HEx160	claude-3-7-sonnet	post	8	8	NQ	Claude3.7				proprietary	17	0.9	9	0.9	0.723529411764706	0.130211433065757	0.235294117647059	0	0	0	0.0411764705882353	0.130211433065757	0	0	0.958823529411765	0.130211433065757	0.0411764705882353	0.130211433065757	9	0.9	0.953333333333333	10	1		0	0	Post	Claude3.7	No	NQ	High	High
HEx161	claude-3-7-sonnet	post	5	6	QQ	Claude3.7				proprietary	13	1	10	1	0.615384615384615	0	0.384615384615385	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Claude3.7	No	QQ	Low	High
HEx20	claude-3-7-sonnet	pre	5	2	S	Claude3.7				proprietary	29	1	10	1	0.586206896551724	0	0.413793103448276	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	Low	Low
HEx20	claude-3-7-sonnet	post	5	3	QQ	Claude3.7				proprietary	28	1	10	1	0.821428571428571	0	0.178571428571429	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	QQ	Low	Low
HEx24	claude-3-7-sonnet	post	3	2	Q	Claude3.7				proprietary	35	1	10	1	0.828571428571429	0	0.171428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	Q	Low	Low
HEx30	claude-3-7-sonnet	post	6	5	Q	Claude3.7				proprietary	14	1	10	1	0.714285714285714	0	0.285714285714286	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Claude3.7	No	Q	High	Low
HEx37	claude-3-7-sonnet	post	3	2	S	Claude3.7				proprietary	43	1	10	1	0.86046511627907	0	0.13953488372093	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	S	Low	Low
HEx42	claude-3-7-sonnet	post	8	10	NQ	Claude3.7				proprietary	81	0.1	1	0.1	0.845679012345679	0.253763022112277	0.0641975308641975	0.00520539532538005	0.00987654320987654	0.00520539532538005	0.0802469135802469	0.253763022112277	0	0	0.909876543209877	0.250322828363641	0.0901234567901235	0.250322828363641	1	0.1	0.861538461538462	9	0.9	0.9140625	0	0	Post	Claude3.7	No	NQ	High	High
HEx45	claude-3-7-sonnet	pre	1	2	S	Claude3.7				proprietary	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	Low	Low
HEx45	claude-3-7-sonnet	post	1	1	S	Claude3.7				proprietary	10	1	10	1	0.6	0	0.4	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	S	Low	Low
HEx50	claude-3-7-sonnet	post	2	3	NQ	Claude3.7				proprietary	22	0.4	4	0.4	0.477272727272727	0.0239566489406695	0.495454545454545	0.0143739893644017	0.00454545454545455	0.0143739893644017	0.0227272727272727	0.0239566489406695	0	0	0.972727272727273	0.023472626340651	0.0272727272727273	0.023472626340651	10	1	1	5	0.5	0.5	0	0	Post	Claude3.7	No	NQ	Low	Low
HEx60	claude-3-7-sonnet	pre	2	1	S	Claude3.7				proprietary	7	1	10	1	0.428571428571429	0	0.571428571428571	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	Low	Low
HEx65	claude-3-7-sonnet	pre	3	2	S	Claude3.7				proprietary	13	1	10	1	0.769230769230769	0	0.230769230769231	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	Low	Low
HEx65	claude-3-7-sonnet	post	3	2	NQ	Claude3.7				proprietary	24	1	10	1	0.666666666666667	0	0.333333333333333	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	NQ	Low	Low
HEx71	claude-3-7-sonnet	post	5	5	QQ	Claude3.7				proprietary	18	1	10	1	0.722222222222222	0	0.277777777777778	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	QQ	Low	Low
HEx73	claude-3-7-sonnet	post	5	4	NQ	Claude3.7				proprietary	78	0.7	7	0.7	0.851282051282051	0.180522047161244	0.0756410256410256	0.004054202128421	0.00128205128205128	0.004054202128421	0.0141025641025641	0.0333497658378234	0.0576923076923077	0.182439095778945	0.926923076923077	0.180304407335348	0.0730769230769231	0.180304407335348	8	0.8	0.958333333333333	7	0.7	0.916129032258065	1	0	Post	Claude3.7	No	NQ	Low	Low
HEx74	claude-3-7-sonnet	pre	5	4	Q	Claude3.7				proprietary	9	0.9	9	0.9	0.433333333333333	0.0351364184463153	0.555555555555556	0	0	0	0.0111111111111111	0.0351364184463153	0	0	0.988888888888889	0.0351364184463153	0.0111111111111111	0.0351364184463153	9	0.9	0.9875	10	1	1	0	0	Pre	Claude3.7	No	Q	Low	Low
HEx74	claude-3-7-sonnet	post	5	4	Q	Claude3.7				proprietary	16	0.9	9	0.9	0.6	0.0790569415042095	0.375	0	0	0	0.025	0.0790569415042095	0	0	0.975	0.0790569415042095	0.025	0.0790569415042095	9	0.9	0.969230769230769	10	1		0	0	Post	Claude3.7	No	Q	Low	Low
HEx80	claude-3-7-sonnet	pre	6	2	Q	Claude3.7				proprietary	10	1	10	1	0.5	0	0.5	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	Q	High	Low
HEx80	claude-3-7-sonnet	post	6	5	Q	Claude3.7				proprietary	16	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1		0	0	Post	Claude3.7	No	Q	High	Low
HEx84	claude-3-7-sonnet	pre	2	1	S	Claude3.7				proprietary	8	1	10	1	0.625	0	0.375	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	Low	Low
HEx84	claude-3-7-sonnet	post	2	5	NQ	Claude3.7				proprietary	13	1	10	1	0.692307692307692	0	0.307692307692308	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	NQ	Low	Low
HEx86	claude-3-7-sonnet	post	4	2	NQ	Claude3.7				proprietary	15	0.8	8	0.8	0.533333333333333	0	0.453333333333333	0.0281091347570523	0.0133333333333333	0.0281091347570523	0	0	0	0	0.986666666666667	0.0281091347570523	0.0133333333333333	0.0281091347570523	8	0.8	0.981818181818182	10	1		0	0	Post	Claude3.7	No	NQ	Low	Low
HEx90	claude-3-7-sonnet	pre	3	1	S	Claude3.7				proprietary	50	1	10	1	0.72	0	0.28	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	Low	Low
HEx90	claude-3-7-sonnet	post	3	1	S	Claude3.7				proprietary	42	1	10	1	0.80952380952381	0	0.19047619047619	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Claude3.7	No	S	Low	Low
HEx99	claude-3-7-sonnet	pre	7	2	S	Claude3.7				proprietary	15	1	10	1	0.466666666666667	0	0.533333333333333	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Claude3.7	No	S	High	Low
HEx99	claude-3-7-sonnet	post	7	3	S	Claude3.7				proprietary	19	0.4	4	0.4	0.778947368421053	0.0543576609994023	0.157894736842105	0	0	0	0.0631578947368421	0.0543576609994023	0	0	0.936842105263158	0.0543576609994023	0.0631578947368421	0.0543576609994023	4	0.4	0.907692307692308	10	1	1	0	0	Post	Claude3.7	No	S	High	Low
HEx127	CodeFuse-DeepSeek-33B	post	4	5	Q	CodeFuse		33.3	125	open	24	0.1	1	0.1	0.0791666666666667	0.250346981429997	0.0208333333333333	0.0658807845868412	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Post	CodeFuse	Yes	Q	Low	Low
HEx24	CodeFuse-DeepSeek-33B	post	3	2	Q	CodeFuse		33.3	125	open	35	0.1	1	0.1	0.248571428571429	0.400238024418565	0.04	0.0676123403782813	0.0114285714285714	0.0276026223736942	0	0	0.7	0.483045891539648	0.288571428571429	0.465099409070212	0.711428571428571	0.465099409070212	2	0.2	0.283333333333333	3	0.3	0.3	7	7	Post	CodeFuse	Yes	Q	Low	Low
HEx30	CodeFuse-DeepSeek-33B	post	6	5	Q	CodeFuse		33.3	125	open	14	0.1	1	0.1	0.135714285714286	0.286605752110555	0.0428571428571429	0.096421222530079	0.0142857142857143	0.0451753951452626	0.00714285714285714	0.0225876975726313	0.8	0.421637021355784	0.178571428571429	0.379834669846281	0.821428571428571	0.379834669846281	1	0.1	0.181818181818182	10	1		8	8	Post	CodeFuse	Yes	Q	High	Low
HEx45	CodeFuse-DeepSeek-33B	post	1	1	S	CodeFuse		33.3	125	open	10	0.1	1	0.1	0.06	0.189736659610103	0.04	0.126491106406735	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Post	CodeFuse	Yes	S	Low	Low
HEx57	CodeFuse-DeepSeek-33B	post	3	3	S	CodeFuse		33.3	125	open	17	0.1	1	0.1	0.0647058823529412	0.204617966246189	0.0352941176470588	0.111609799770649	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Post	CodeFuse	Yes	S	Low	Low
HEx84	CodeFuse-DeepSeek-33B	post	2	5	NQ	CodeFuse		33.3	125	open	13	0.1	1	0.1	0.130769230769231	0.276281307631815	0.0307692307692308	0.097300851082104	0.0307692307692308	0.097300851082104	0	0	0.807692307692308	0.405825430547293	0.161538461538462	0.352412554841614	0.838461538461538	0.352412554841614	1	0.1	0.18	1	0.1	0.1	9	8	Post	CodeFuse	Yes	NQ	Low	Low
HEx104	codegemma-7b-it	pre	6	2	S	CodeGemma	62	8.54	32	open	25	0.4	4	0.4	0.112	0.120443624433453	0.38	0.400555170287995	0	0	0.008	0.025298221281347	0.5	0.52704627669473	0.492	0.519161717472397	0.508	0.519161717472397	4	0.4	0.477777777777778	5	0.5	0.5	5	5	Pre	CodeGemma	Yes	S	High	Low
HEx111	codegemma-7b-it	pre	8	3	Q	CodeGemma	62	8.54	32	open	85	0.4	4	0.4	0.0588235294117647	0.062005444317027	0.352941176470588	0.455645099553814	0.0882352941176471	0.279024499426622	0	0	0.5	0.52704627669473	0.411764705882353	0.50753643551156	0.588235294117647	0.50753643551156	4	0.4	0.427272727272727	4	0.4	0.409459459459459	5	5	Pre	CodeGemma	Yes	Q	High	Low
HEx120	codegemma-7b-it	pre	7	2	S	CodeGemma	62	8.54	32	open	56	0.3	3	0.3	0.230357142857143	0.286513020444715	0.158928571428571	0.187938828881529	0.0285714285714286	0.0903507902905251	0.0821428571428571	0.175004049191898	0.5	0.52704627669473	0.389285714285714	0.459360321275037	0.610714285714286	0.459360321275037	4	0.4	0.433333333333333	3	0.3	0.384	5	5	Pre	CodeGemma	Yes	S	High	Low
HEx13	codegemma-7b-it	pre	5	3	Q	CodeGemma	62	8.54	32	open	47	0.5	5	0.5	0.351063829787234	0.370053768743108	0.148936170212766	0.156992507951622	0	0	0	0	0.5	0.52704627669473	0.5	0.52704627669473	0.5	0.52704627669473	5	0.5	0.5	5	0.5	0.5	5	5	Pre	CodeGemma	Yes	Q	Low	Low
HEx13	codegemma-7b-it	post	5	4	QQ	CodeGemma	62	8.54	32	open	42	0.1	1	0.1	0.14047619047619	0.305003624379045	0.0261904761904762	0.0554988372604669	0.00238095238095238	0.00752923252421043	0.030952380952381	0.0978800228147356	0.8	0.421637021355784	0.166666666666667	0.360041149911548	0.833333333333333	0.360041149911548	1	0.1	0.144444444444444	1	0.1	0.170967741935484	8	8	Post	CodeGemma	Yes	QQ	Low	Low
HEx151	codegemma-7b-it	post	4	5	QQ	CodeGemma	62	8.54	32	open	70	0.3	3	0.3	0.6	0.416333199893227	0.03	0.0483045891539648	0.01	0.0316227766016838	0	0	0.36	0.45018514709691	0.63	0.442342250600897	0.37	0.442342250600897	3	0.3	0.358333333333333	7	0.7	0.7	6	3	Post	CodeGemma	Yes	QQ	Low	Low
HEx16	codegemma-7b-it	post	6	5	Q	CodeGemma	62	8.54	32	open	16	0.1	1	0.1	0.1375	0.258198889747161	0.16875	0.156041527592283	0.0125	0.0263523138347365	0.05625	0.177878118384471	0.625	0.445852803313181	0.30625	0.376674502130892	0.69375	0.376674502130892	2	0.2	0.3	2	0.2	0.2	7	4	Post	CodeGemma	Yes	Q	High	Low
HEx20	codegemma-7b-it	pre	5	2	S	CodeGemma	62	8.54	32	open	29	0.5	5	0.5	0.351724137931034	0.302715939703568	0.248275862068966	0.213681839790754	0.0413793103448276	0.130852868696623	0.0586206896551724	0.185374897320215	0.3	0.483045891539648	0.6	0.461261947514781	0.4	0.461261947514781	5	0.5	0.6	5	0.5	0.6	3	3	Pre	CodeGemma	Yes	S	Low	Low
HEx45	codegemma-7b-it	pre	1	2	S	CodeGemma	62	8.54	32	open	10	0.6	6	0.6	0.3	0.258198889747161	0.3	0.258198889747161	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4	Pre	CodeGemma	Yes	S	Low	Low
HEx45	codegemma-7b-it	post	1	1	S	CodeGemma	62	8.54	32	open	10	0.1	1	0.1	0.12	0.25298221281347	0.08	0.13984117975602	0.08	0.13984117975602	0.12	0.25298221281347	0.6	0.516397779494322	0.2	0.339934634239519	0.8	0.339934634239519	1	0.1	0.2	2	0.2	0.2	6	6	Post	CodeGemma	Yes	S	Low	Low
HEx60	codegemma-7b-it	pre	2	1	S	CodeGemma	62	8.54	32	open	7	0.5	5	0.5	0.257142857142857	0.221313334068995	0.285714285714286	0.301169300968417	0.0571428571428571	0.18070158058105	0	0	0.4	0.516397779494322	0.542857142857143	0.498523898221044	0.457142857142857	0.498523898221044	5	0.5	0.55	5	0.5	0.5	4	4	Pre	CodeGemma	Yes	S	Low	Low
HEx65	codegemma-7b-it	pre	3	2	S	CodeGemma	62	8.54	32	open	13	0.3	3	0.3	0.230769230769231	0.371573762722806	0.0923076923076923	0.119168718344844	0	0	0.0769230769230769	0.24325212770526	0.6	0.516397779494322	0.323076923076923	0.472518953837516	0.676923076923077	0.472518953837516	3	0.3	0.3375	3	0.3	0.3	6	6	Pre	CodeGemma	Yes	S	Low	Low
HEx74	codegemma-7b-it	post	5	4	Q	CodeGemma	62	8.54	32	open	16	0.1	1	0.1	0.1	0.218898758942728	0.05625	0.126552854570729	0.01875	0.0592927061281571	0.025	0.0790569415042095	0.8	0.421637021355784	0.15625	0.345167531787102	0.84375	0.345167531787102	1	0.1	0.153846153846154	10	1		8	8	Post	CodeGemma	Yes	Q	Low	Low
HEx84	codegemma-7b-it	pre	2	1	S	CodeGemma	62	8.54	32	open	8	0.6	6	0.6	0.375	0.322748612183951	0.225	0.193649167310371	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4	Pre	CodeGemma	Yes	S	Low	Low
HEx90	codegemma-7b-it	post	3	1	S	CodeGemma	62	8.54	32	open	42	0.3	3	0.3	0.523809523809524	0.379627325177822	0.0833333333333333	0.0906639655459989	0.0309523809523809	0.0615271347406803	0.0428571428571429	0.119733474067594	0.319047619047619	0.473564186302926	0.607142857142857	0.438056416499383	0.392857142857143	0.438056416499383	3	0.3	0.584615384615385	5	0.5	0.648	4	3	Post	CodeGemma	Yes	S	Low	Low
HEx99	codegemma-7b-it	pre	7	2	S	CodeGemma	62	8.54	32	open	15	0.4	4	0.4	0.213333333333333	0.232644485836487	0.22	0.27043631869469	0	0	0	0	0.566666666666667	0.498144706032442	0.433333333333333	0.498144706032442	0.566666666666667	0.498144706032442	4	0.4	0.4	5	0.5	0.5	6	5	Pre	CodeGemma	Yes	S	High	Low
HEx151	CodeQwen1.5-7B-Chat	post	4	5	QQ	CodeQwen1.5	15	7.25	28	open	70	0.1	1	0.1	0.09	0.284604989415154	0.01	0.0316227766016838	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Post	CodeQwen1.5	Yes	QQ	Low	Low
HEx84	CodeQwen1.5-7B-Chat	post	2	5	NQ	CodeQwen1.5	15	7.25	28	open	13	0.1	1	0.1	0.0692307692307692	0.218926914934734	0.0307692307692308	0.097300851082104	0	0	0	0	0.9	0.316227766016838	0.1	0.316227766016838	0.9	0.316227766016838	1	0.1	0.1	1	0.1	0.1	9	9	Post	CodeQwen1.5	Yes	NQ	Low	Low
HEx0	Codestral-22B-v0.1	post	5	4	QQ	Codestral	20	22.2	83	open	33	0.8	8	0.8	0.703030303030303	0.370529503615689	0.096969696969697	0.051107517740095	0	0	0	0	0.2	0.421637021355784	0.8	0.421637021355784	0.2	0.421637021355784	8	0.8	0.8	8	0.8	0.8	2	2	Post	Codestral	Yes	QQ	Low	Low
HEx104	Codestral-22B-v0.1	pre	6	2	S	Codestral	20	22.2	83	open	25	0.4	4	0.4	0.096	0.123935467078637	0.304	0.392462312415685	0	0	0	0	0.6	0.516397779494322	0.4	0.516397779494322	0.6	0.516397779494322	4	0.4	0.4	4	0.4	0.4	6	6	Pre	Codestral	Yes	S	High	Low
HEx111	Codestral-22B-v0.1	pre	8	3	Q	Codestral	20	22.2	83	open	85	0.7	7	0.7	0.0905882352941176	0.0489960727816015	0.696470588235294	0.368243437860208	0	0	0	0	0.212941176470588	0.416774380540933	0.787058823529412	0.416774380540933	0.212941176470588	0.416774380540933	7	0.7	0.7	8	0.8	0.8	3	2	Pre	Codestral	Yes	Q	High	Low
HEx114	Codestral-22B-v0.1	post	5	6	QQ	Codestral	20	22.2	83	open	28	0.1	1	0.1	0.0892857142857143	0.247005880014838	0.0285714285714286	0.0690065559342354	0	0	0	0	0.882142857142857	0.314992891256216	0.117857142857143	0.314992891256216	0.882142857142857	0.314992891256216	1	0.1	0.136363636363636	1	0.1	0.1	9	8	Post	Codestral	Yes	QQ	Low	High
HEx120	Codestral-22B-v0.1	pre	7	2	S	Codestral	20	22.2	83	open	56	0.6	6	0.6	0.4375	0.30190368221228	0.251785714285714	0.176866864491634	0.0107142857142857	0.0338815463589469	0	0	0.3	0.483045891539648	0.689285714285714	0.476800204880566	0.310714285714286	0.476800204880566	6	0.6	0.683333333333333	6	0.6	0.69	3	3	Pre	Codestral	Yes	S	High	Low
HEx13	Codestral-22B-v0.1	pre	5	3	Q	Codestral	20	22.2	83	open	47	0.8	8	0.8	0.561702127659575	0.296043014994487	0.238297872340426	0.125594006361297	0	0	0	0	0.2	0.421637021355784	0.8	0.421637021355784	0.2	0.421637021355784	8	0.8	0.8	8	0.8	0.8	2	2	Pre	Codestral	Yes	Q	Low	Low
HEx132	Codestral-22B-v0.1	pre	7	3	Q	Codestral	20	22.2	83	open	363	0.3	3	0.3	0.00523415977961432	0.00784035783512821	0.393388429752066	0.507862279006813	0	0	0.00137741046831956	0.00435575435284901	0.6	0.516397779494322	0.39862258953168	0.51463491134158	0.60137741046832	0.51463491134158	3	0.3	0.35	4	0.4	0.4	6	6	Pre	Codestral	Yes	Q	High	Low
HEx151	Codestral-22B-v0.1	post	4	5	QQ	Codestral	20	22.2	83	open	70	0.2	2	0.2	0.18	0.379473319220206	0.02	0.0421637021355784	0	0	0	0	0.8	0.421637021355784	0.2	0.421637021355784	0.8	0.421637021355784	2	0.2	0.2	2	0.2	0.2	8	8	Post	Codestral	Yes	QQ	Low	Low
HEx16	Codestral-22B-v0.1	post	6	5	Q	Codestral	20	22.2	83	open	16	0.1	1	0.1	0.13125	0.260957771168696	0.1	0.161911326897712	0.00625	0.0197642353760524	0.05625	0.177878118384471	0.70625	0.473288216746531	0.23125	0.406169863891123	0.76875	0.406169863891123	2	0.2	0.2375	2	0.2	0.2	8	7	Post	Codestral	Yes	Q	High	Low
HEx20	Codestral-22B-v0.1	pre	5	2	S	Codestral	20	22.2	83	open	29	0.6	6	0.6	0.351724137931034	0.302715939703568	0.248275862068966	0.213681839790754	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4	Pre	Codestral	Yes	S	Low	Low
HEx20	Codestral-22B-v0.1	post	5	3	QQ	Codestral	20	22.2	83	open	28	0.4	4	0.4	0.328571428571429	0.424183890298908	0.0714285714285714	0.0922138891954147	0	0	0	0	0.6	0.516397779494322	0.4	0.516397779494322	0.6	0.516397779494322	4	0.4	0.4	4	0.4	0.4	6	6	Post	Codestral	Yes	QQ	Low	Low
HEx24	Codestral-22B-v0.1	pre	3	1	S	Codestral	20	22.2	83	open	31	0.2	2	0.2	0.590322580645161	0.344774177451548	0.135483870967742	0.077239935466959	0.0193548387096774	0.0311642510670741	0.0548387096774194	0.15134193737851	0.2	0.421637021355784	0.725806451612903	0.407823253086298	0.274193548387097	0.407823253086299	2	0.2	0.7	4	0.4	0.734782608695652	2	2	Pre	Codestral	Yes	S	Low	Low
HEx24	Codestral-22B-v0.1	post	3	2	Q	Codestral	20	22.2	83	open	35	0.5	5	0.5	0.497142857142857	0.427872445866724	0.1	0.0865042958313569	0.00285714285714286	0.00903507902905251	0	0	0.4	0.516397779494322	0.597142857142857	0.514012272985816	0.402857142857143	0.514012272985816	6	0.6	0.6	6	0.6	0.6	4	4	Post	Codestral	Yes	Q	Low	Low
HEx30	Codestral-22B-v0.1	post	6	5	Q	Codestral	20	22.2	83	open	14	0.4	4	0.4	0.35	0.369546513784585	0.157142857142857	0.142061275144536	0.0142857142857143	0.0451753951452626	0.00714285714285714	0.0225876975726313	0.471428571428571	0.504177559335864	0.507142857142857	0.486145933317071	0.492857142857143	0.486145933317071	4	0.4	0.490909090909091	10	1		5	4	Post	Codestral	Yes	Q	High	Low
HEx43	Codestral-22B-v0.1	post	8	8	QQ	Codestral	20	22.2	83	open	28	0.4	4	0.4	0.378571428571429	0.389851416547544	0.117857142857143	0.106545956358402	0	0	0.0214285714285714	0.0677630927178938	0.482142857142857	0.511004191222256	0.496428571428571	0.492704715329513	0.503571428571429	0.492704715329513	4	0.4	0.5375	4	0.4	0.472222222222222	5	4	Post	Codestral	Yes	QQ	High	High
HEx45	Codestral-22B-v0.1	pre	1	2	S	Codestral	20	22.2	83	open	10	0.4	4	0.4	0.2	0.258198889747161	0.2	0.258198889747161	0	0	0.01	0.0316227766016838	0.59	0.508702052067591	0.4	0.516397779494322	0.6	0.516397779494322	4	0.4	0.4	4	0.4	0.4	6	5	Pre	Codestral	Yes	S	Low	Low
HEx45	Codestral-22B-v0.1	post	1	1	S	Codestral	20	22.2	83	open	10	0.6	6	0.6	0.36	0.309838667696593	0.24	0.206559111797729	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4	Post	Codestral	Yes	S	Low	Low
HEx57	Codestral-22B-v0.1	post	3	3	S	Codestral	20	22.2	83	open	17	0.2	2	0.2	0.311764705882353	0.307599503941517	0.176470588235294	0.175377880588219	0.0117647058823529	0.0248021777268108	0.0235294117647059	0.0496043554536216	0.476470588235294	0.489371856090291	0.488235294117647	0.482727417206996	0.511764705882353	0.482727417206996	4	0.4	0.518181818181818	2	0.2	0.4	7	4	Post	Codestral	Yes	S	Low	Low
HEx60	Codestral-22B-v0.1	pre	2	1	S	Codestral	20	22.2	83	open	7	0.7	7	0.7	0.3	0.207019667802706	0.4	0.276026223736942	0	0	0	0	0.3	0.483045891539648	0.7	0.483045891539648	0.3	0.483045891539648	7	0.7	0.7	7	0.7	0.7	3	3	Pre	Codestral	Yes	S	Low	Low
